order_id,date,product,city,quantity,unit_price,currency,notes
2072,2026-06-29,Espresso,Lyon,3,4.40,EUR,
2073,2026-06-29,Latte,Lyon,3,6.70,EUR,
2074,2026-06-27,Matcha,Montréal,4,8.30,EUR,
2075,2026-06-11,Latte,Montréal,1,6.40,EUR,
2076,2026-06-12,Espresso,Paris,4,4.40,EUR,
2077,2026-06-24,Espresso,Paris,2,4.10,EUR,
2078,2026-06-28,Latte,Paris,1,6.70,EUR,
2079,2026-06-22,Latte,Paris,1,6.80,EUR,
2080,2026-06-03,Matcha,Lyon,4,8.30,EUR,
2081,2026-06-17,Matcha,Paris,3,8.30,EUR,
2082,2026-06-30,Latte,Montréal,4,6.60,EUR,
2083,2026-06-03,Latte,Lyon,2,6.40,EUR,
2084,2026-06-09,Espresso,Montréal,1,4.00,EUR,
2085,2026-06-25,Cappuccino,Paris,1,7.00,EUR,
2086,2026-06-26,Matcha,Montréal,1,8.00,EUR,
2087,2026-06-01,Cappuccino,Montréal,3,7.30,EUR,
2088,2026-06-22,Espresso,Montréal,4,4.40,EUR,
2089,2026-06-23,Cappuccino,Montréal,1,7.50,EUR,
2090,2026-06-20,Matcha,Montréal,4,8.00,EUR,
2091,2026-06-27,Matcha,Lyon,3,8.20,EUR,
2092,2026-06-14,Matcha,Lyon,1,8.20,EUR,
2093,2026-06-25,Matcha,Montréal,3,8.30,EUR,
2094,2026-06-23,Matcha,Lyon,4,8.00,EUR,
2095,2026-06-04,Espresso,Lyon,4,4.30,EUR,
2096,2026-06-17,Moka,Lyon,4,7.40,EUR,
2097,2026-06-17,Matcha,Montréal,4,8.30,EUR,
2098,2026-06-02,Matcha,Paris,3,8.10,EUR,
2099,2026-06-19,Cappuccino,NA,3,7.10,EUR,
2100,2026-06-21,Matcha,Lyon,1,8.10,EUR,
2101,2026-06-12,Latte,Montréal,4,6.70,EUR,
2102,2026-06-22,Matcha,Montréal,1,8.40,EUR,
2103,2026-06-01,Espresso,Montréal,4,4.30,EUR,
2104,2026-06-11,Matcha,Montréal,1,8.00,EUR,
2105,2026-06-13,Latte,NA,1,6.70,EUR,
2106,2026-06-14,Matcha,Montréal,3,8.00,EUR,
2107,2026-06-02,Espresso,NA,4,4.00,EUR,
2108,2026-06-27,Matcha,Montréal,4,8.20,EUR,
2109,2026-06-22,Espresso,Montréal,2,4.40,EUR,
2110,2026-06-04,Matcha,Paris,1,8.20,EUR,
2111,2026-06-01,Matcha,Paris,4,7.90,EUR,
2112,2026-06-01,Cappuccino,Montréal,3,7.00,EUR,
2113,2026-06-21,Moka,Paris,4,7.40,EUR,
2114,2026-06-06,Moka,Paris,3,7.40,EUR,
2115,2026-06-30,Moka,Paris,1,7.40,EUR,
2116,2026-06-15,Espresso,Montréal,1,4.00,EUR,
2117,2026-06-08,Cappuccino,Montréal,4,7.10,EUR,
2118,2026-06-23,Matcha,Paris,1,8.50,EUR,
2119,2026-06-27,Cappuccino,Montréal,1,7.10,EUR,
2120,2026-06-29,Matcha,Lyon,4,8.30,EUR,
