date,kwh,temperature
2025-12-07,194.6,20.8
2025-12-08,237.4,22.9
2025-12-09,237.0,24.2
2025-12-10,235.4,22.9
2025-12-11,234.7,23.8
2025-12-12,235.3,21.8
2025-12-13,201.5,24.0
2025-12-14,199.0,21.9
2025-12-15,240.7,23.1
2025-12-16,235.1,24.0
2025-12-17,232.1,22.1
2025-12-18,230.4,21.1
2025-12-19,236.3,23.7
2025-12-20,205.2,24.3
2025-12-21,198.4,23.7
2025-12-22,236.5,21.9
2025-12-23,234.6,21.1
2025-12-24,233.5,22.7
2025-12-25,234.3,23.8
2025-12-26,237.7,24.1
2025-12-27,201.2,23.6
2025-12-28,199.2,22.7
2025-12-29,239.0,22.8
2025-12-30,236.8,22.3
2025-12-31,234.1,21.6
2026-01-01,234.3,22.1
2026-01-02,236.6,23.2
2026-01-03,204.3,22.7
2026-01-04,197.3,21.0
2026-01-05,237.4,24.8
2026-01-06,235.0,24.5
2026-01-07,235.2,23.0
2026-01-08,232.2,24.2
2026-01-09,234.0,22.4
2026-01-10,202.1,23.7
2026-01-11,200.1,21.3
2026-01-12,242.6,23.9
2026-01-13,238.8,24.0
2026-01-14,236.1,24.0
2026-01-15,235.0,21.5
2026-01-16,234.3,21.1
2026-01-17,201.3,21.7
2026-01-18,200.9,23.3
2026-01-19,240.3,24.5
2026-01-20,235.1,22.1
2026-01-21,235.0,21.6
2026-01-22,237.0,22.6
2026-01-23,235.2,24.2
2026-01-24,206.7,21.4
2026-01-25,200.1,23.7
2026-01-26,242.6,23.0
2026-01-27,238.4,23.4
2026-01-28,234.8,22.1
2026-01-29,236.5,22.2
2026-01-30,238.1,22.2
2026-01-31,204.2,23.7
2026-02-01,202.8,22.9
2026-02-02,238.8,22.2
2026-02-03,238.9,23.1
2026-02-04,235.2,23.1
2026-02-05,233.8,23.0
2026-02-06,236.3,20.7
2026-02-07,204.0,22.6
2026-02-08,200.5,22.7
2026-02-09,240.9,19.7
2026-02-10,236.4,22.8
2026-02-11,235.6,20.0
2026-02-12,235.4,21.9
2026-02-13,238.0,21.6
2026-02-14,201.7,22.0
2026-02-15,202.0,20.7
2026-02-16,239.3,18.7
2026-02-17,237.5,21.8
2026-02-18,236.5,19.8
2026-02-19,234.0,20.5
2026-02-20,237.6,20.0
2026-02-21,200.5,18.5
2026-02-22,196.8,18.2
2026-02-23,238.4,20.9
2026-02-24,239.1,20.2
2026-02-25,232.6,17.5
2026-02-26,232.6,20.0
2026-02-27,234.6,20.5
2026-02-28,203.7,20.6
2026-03-01,201.2,18.2
2026-03-02,236.4,19.2
2026-03-03,235.2,18.5
2026-03-04,233.3,17.5
2026-03-05,234.9,18.4
2026-03-06,235.5,18.5
2026-03-07,200.1,19.1
2026-03-08,199.5,19.5
2026-03-09,236.0,16.0
2026-03-10,233.5,16.9
2026-03-11,232.6,16.4
2026-03-12,236.1,17.6
2026-03-13,237.1,16.5
2026-03-14,202.9,15.1
2026-03-15,199.3,18.0
2026-03-16,237.1,15.5
2026-03-17,237.5,16.6
2026-03-18,231.5,14.7
2026-03-19,234.2,16.0
2026-03-20,236.8,17.3
2026-03-21,201.4,17.8
2026-03-22,195.4,14.4
2026-03-23,237.6,16.4
2026-03-24,233.5,16.6
2026-03-25,231.6,13.9
2026-03-26,233.0,15.6
2026-03-27,234.3,13.9
2026-03-28,203.5,15.0
2026-03-29,198.3,12.9
2026-03-30,239.5,14.9
2026-03-31,233.4,12.6
2026-04-01,231.6,15.1
2026-04-02,233.1,13.1
2026-04-03,235.6,13.8
2026-04-04,198.5,14.4
2026-04-05,196.4,12.4
2026-04-06,238.3,11.8
2026-04-07,232.0,15.3
2026-04-08,230.3,13.1
2026-04-09,231.1,13.5
2026-04-10,232.8,13.6
2026-04-11,197.8,14.6
2026-04-12,197.7,12.0
2026-04-13,233.9,12.5
2026-04-14,235.2,12.1
2026-04-15,231.5,11.1
2026-04-16,230.5,10.1
2026-04-17,234.6,11.3
2026-04-18,198.9,10.7
2026-04-19,195.3,9.7
2026-04-20,236.2,9.6
2026-04-21,235.5,12.3
2026-04-22,232.0,12.3
2026-04-23,227.3,11.3
2026-04-24,232.2,10.7
2026-04-25,198.9,10.5
2026-04-26,194.5,10.8
2026-04-27,231.8,11.2
2026-04-28,229.7,11.0
