amount,hour,distance_km,merchant_type,new_device,status
243.79,2,26.3,online,no,fraud
13.39,20,10.1,grocery,yes,clean
261.46,8,6.1,grocery,no,clean
100.2,15,20.6,electronics,no,clean
5.75,21,6.8,grocery,no,clean
17.74,15,5.1,online,no,clean
147.43,9,1.4,grocery,no,clean
81.33,2,88.3,electronics,yes,fraud
50.68,13,13.3,grocery,no,clean
108.57,10,1.4,grocery,no,clean
105.55,13,0.5,travel,no,clean
47.29,11,3.8,grocery,no,clean
292.44,2,115.5,travel,no,fraud
82.94,16,5.2,online,yes,clean
47.51,17,8.0,grocery,no,clean
25.81,11,28.7,grocery,yes,clean
29.84,8,14.7,grocery,yes,clean
8.42,17,2.1,electronics,no,clean
13.52,12,4.4,grocery,no,clean
59.59,10,3.3,travel,no,clean
237.77,5,46.7,electronics,yes,fraud
51.44,6,3.0,online,no,clean
328.91,2,34.6,online,no,fraud
32.06,6,2.3,electronics,no,clean
40.67,12,2.6,grocery,no,clean
8.21,13,2.1,travel,no,clean
60.22,15,9.5,online,yes,clean
18.43,10,0.7,online,no,clean
37.31,13,1.1,online,no,clean
32.2,18,16.3,electronics,no,clean
22.27,14,1.7,travel,yes,clean
38.81,11,1.6,online,no,clean
69.3,14,8.2,grocery,no,clean
8.64,17,1.5,grocery,no,clean
16.09,11,3.3,online,yes,clean
41.77,15,2.9,travel,no,clean
63.19,16,4.1,online,no,clean
42.15,5,5.5,grocery,no,clean
33.19,4,2.3,electronics,no,clean
26.47,2,8.7,online,no,fraud
11.45,9,46.4,electronics,yes,clean
18.63,11,9.1,electronics,no,clean
28.2,18,11.9,online,no,clean
39.87,15,15.5,online,no,clean
42.11,19,93.1,electronics,no,clean
60.18,18,4.3,electronics,no,clean
58.15,18,6.8,grocery,no,clean
59.69,14,3.5,grocery,no,clean
32.76,13,15.9,online,no,clean
32.69,23,4.5,grocery,no,clean
8.21,16,8.1,travel,no,clean
27.67,10,17.3,electronics,no,clean
12.33,15,11.8,grocery,no,clean
11.22,12,3.7,online,no,clean
17.46,8,13.8,grocery,no,clean
36.47,14,3.5,electronics,no,clean
61.06,18,3.0,travel,no,clean
40.08,20,21.0,grocery,yes,clean
116.72,8,1.0,electronics,no,clean
4.42,16,41.4,online,no,clean
74.3,0,72.6,electronics,yes,fraud
24.74,8,6.2,grocery,no,clean
113.52,12,21.7,online,no,clean
51.49,21,13.7,grocery,no,clean
84.39,7,2.9,grocery,no,clean
9.49,7,7.1,grocery,yes,clean
127.87,21,15.0,electronics,no,clean
47.62,14,9.4,grocery,no,clean
175.9,23,76.8,online,no,fraud
14.03,11,7.4,online,no,clean
65.91,18,0.7,electronics,no,clean
43.49,19,2.2,travel,no,clean
38.16,10,1.0,online,no,clean
83.28,16,1.9,grocery,no,clean
16.15,15,3.3,grocery,no,clean
53.55,18,4.7,travel,no,clean
49.99,0,29.6,online,no,fraud
23.93,11,3.0,online,no,clean
50.37,14,27.4,grocery,no,clean
29.19,17,14.9,online,no,clean
9.85,13,8.5,grocery,no,clean
44.92,17,2.2,electronics,no,clean
85.71,20,12.2,grocery,no,clean
69.02,16,1.2,grocery,no,clean
27.04,12,0.7,online,no,clean
23.03,12,9.0,online,no,clean
14.19,10,22.1,grocery,no,clean
72.72,11,4.8,grocery,no,clean
39.05,22,2.6,grocery,no,clean
94.89,4,6.7,travel,no,clean
33.49,14,53.5,electronics,no,clean
70.64,9,1.4,grocery,no,clean
39.12,14,0.9,online,no,clean
29.46,15,2.3,travel,no,clean
33.73,9,2.0,travel,no,clean
14.58,7,9.9,travel,no,clean
47.59,8,3.7,grocery,no,clean
8.22,13,2.2,grocery,no,clean
82.82,9,12.2,grocery,no,clean
33.64,16,15.5,online,no,clean
10.16,16,9.5,grocery,no,clean
60.43,10,15.2,online,no,clean
39.62,15,2.3,electronics,no,clean
81.62,8,9.7,online,no,clean
32.5,12,21.4,electronics,no,clean
69.77,14,4.3,electronics,no,clean
10.31,12,5.1,travel,no,clean
50.01,21,0.8,grocery,no,clean
26.98,2,20.5,electronics,yes,fraud
68.71,17,5.6,online,no,clean
26.02,15,198.6,grocery,no,clean
54.42,17,6.2,grocery,no,clean
40.73,15,1.6,grocery,yes,clean
13.97,15,0.2,online,no,clean
18.02,9,12.5,grocery,no,clean
12.27,11,53.2,grocery,yes,clean
58.28,18,4.7,grocery,no,clean
20.78,16,2.3,online,no,clean
177.69,10,4.1,grocery,no,clean
121.48,23,9.8,online,yes,fraud
54.02,12,3.1,grocery,no,clean
26.37,11,6.7,electronics,yes,clean
194.37,15,1.4,grocery,no,clean
9.05,11,0.3,electronics,no,clean
31.92,15,1.5,grocery,no,clean
15.16,8,7.5,electronics,no,clean
95.46,14,6.0,grocery,no,clean
30.49,14,4.0,online,no,clean
9.21,2,7.7,travel,no,clean
43.95,12,9.3,grocery,yes,clean
49.53,13,2.1,grocery,no,clean
59.18,8,5.1,grocery,no,clean
72.25,0,3.0,grocery,no,clean
39.79,15,6.6,grocery,no,clean
73.93,12,0.7,grocery,no,clean
28.54,14,6.2,grocery,no,clean
16.78,19,0.6,online,no,clean
17.01,12,2.3,grocery,no,clean
50.98,19,11.6,grocery,no,clean
38.48,10,3.0,electronics,yes,clean
25.0,13,10.7,grocery,no,clean
149.97,9,6.8,online,no,clean
40.56,19,7.0,grocery,no,clean
21.92,5,4.1,grocery,no,clean
40.0,16,3.9,grocery,no,clean
22.27,14,7.3,grocery,no,clean
104.3,3,19.1,online,yes,fraud
18.25,13,4.1,travel,no,clean
14.82,14,3.3,grocery,no,clean
96.19,16,5.4,grocery,yes,clean
36.67,15,3.6,online,no,clean
235.97,3,113.2,online,no,fraud
60.76,12,2.2,electronics,no,clean
52.18,7,4.1,grocery,no,clean
26.97,10,3.2,electronics,no,clean
5.8,7,3.6,grocery,no,clean
521.49,4,20.9,online,no,fraud
122.99,14,3.7,grocery,no,clean
45.35,11,4.5,electronics,no,clean
35.89,8,4.5,online,no,clean
213.16,9,2.6,electronics,yes,clean
10.54,13,2.4,grocery,no,clean
293.87,23,67.2,online,yes,fraud
40.26,14,3.3,grocery,no,clean
13.06,19,5.7,grocery,no,clean
13.9,15,0.8,travel,no,clean
41.88,3,7.0,grocery,no,clean
23.27,13,23.2,grocery,no,clean
22.8,19,3.2,online,no,clean
203.44,7,152.5,online,yes,fraud
61.39,15,12.0,electronics,no,clean
59.02,10,5.2,travel,no,clean
20.84,19,5.5,online,no,clean
118.81,9,24.3,grocery,no,clean
100.02,11,14.8,grocery,yes,clean
17.77,18,2.8,grocery,no,clean
309.64,0,38.2,electronics,yes,fraud
23.18,20,1.5,travel,yes,clean
9.21,12,1.6,grocery,no,clean
45.96,16,10.4,travel,yes,clean
59.53,14,6.0,electronics,no,clean
31.37,15,5.7,online,no,clean
56.41,17,4.7,grocery,no,clean
48.53,17,1.0,grocery,no,clean
48.6,14,12.0,online,yes,clean
21.94,19,10.0,grocery,no,clean
91.65,13,7.7,grocery,no,clean
30.44,7,8.4,online,no,clean
45.05,16,7.3,grocery,no,clean
43.94,16,1.7,travel,no,clean
18.32,14,1.6,online,no,clean
45.31,9,9.1,electronics,no,clean
104.84,9,19.2,electronics,no,clean
61.1,21,3.3,electronics,no,clean
158.03,2,27.0,online,yes,fraud
72.9,9,1.2,grocery,no,clean
178.35,11,1.5,grocery,no,clean
64.67,20,8.1,electronics,no,clean
28.27,10,5.3,electronics,no,clean
55.35,12,9.9,online,no,clean
36.21,12,15.0,grocery,yes,clean
35.65,10,4.1,grocery,yes,clean
25.66,13,5.9,grocery,no,clean
11.17,9,2.3,grocery,no,clean
3.38,14,14.0,online,no,clean
21.78,1,11.1,grocery,no,clean
30.96,13,4.8,electronics,no,clean
7.24,6,5.9,grocery,no,clean
13.9,20,19.5,grocery,yes,clean
5.85,17,21.9,electronics,no,clean
27.45,8,1.6,online,no,clean
58.83,12,20.1,grocery,no,clean
74.15,18,3.7,electronics,no,clean
78.12,17,1.9,grocery,no,clean
108.37,18,18.9,grocery,yes,clean
13.32,16,2.7,travel,no,clean
43.09,11,11.9,online,yes,clean
75.82,17,3.1,travel,no,clean
43.45,22,6.6,grocery,no,clean
32.47,11,0.8,electronics,no,clean
25.13,11,10.3,grocery,no,clean
11.73,14,6.7,electronics,no,clean
24.13,14,3.0,online,no,clean
12.99,17,11.5,online,no,clean
16.87,16,6.5,electronics,yes,clean
285.53,4,6.1,electronics,yes,fraud
77.28,5,5.6,grocery,yes,clean
11.64,14,3.0,electronics,no,clean
26.99,9,5.2,travel,no,clean
67.99,21,0.8,grocery,no,clean
43.29,16,3.0,grocery,no,clean
143.09,23,34.2,grocery,no,clean
67.96,0,23.2,travel,yes,fraud
125.18,2,30.8,online,yes,fraud
100.46,14,7.2,grocery,no,clean
13.22,8,24.4,grocery,no,clean
26.63,9,3.4,electronics,yes,clean
12.02,13,3.9,online,no,clean
24.5,9,4.3,online,no,clean
14.5,12,2.5,online,no,clean
55.93,3,0.3,online,no,clean
22.58,21,14.7,grocery,no,clean
18.29,16,6.9,online,no,clean
124.18,9,4.4,grocery,no,clean
29.69,19,3.0,online,no,clean
12.37,11,4.0,online,no,clean
25.63,12,24.5,electronics,no,clean
54.03,13,18.2,electronics,yes,clean
111.73,15,0.2,grocery,no,clean
113.02,17,27.0,grocery,yes,clean
8.37,14,2.7,online,no,clean
90.75,13,7.9,electronics,no,clean
53.92,12,3.4,electronics,no,clean
6.7,18,1.4,online,yes,clean
63.04,6,20.3,online,yes,fraud
50.43,16,3.5,grocery,no,clean
260.51,5,58.2,travel,yes,fraud
31.06,8,4.2,online,no,clean
99.49,21,1.2,grocery,no,clean
11.89,10,2.6,grocery,yes,clean
215.23,1,83.2,electronics,yes,fraud
74.95,11,0.7,online,no,clean
23.67,15,6.4,grocery,no,clean
31.9,9,8.4,grocery,no,clean
23.26,12,4.9,grocery,no,clean
24.63,15,6.2,online,yes,clean
42.49,15,3.7,grocery,no,clean
616.13,5,16.1,grocery,no,fraud
24.36,10,21.6,online,no,clean
23.83,11,12.3,grocery,yes,clean
11.96,11,3.4,grocery,yes,clean
196.35,2,174.2,electronics,yes,fraud
5.77,10,5.6,online,no,clean
57.79,8,8.5,grocery,no,clean
18.01,9,2.7,grocery,yes,clean
11.93,8,9.8,electronics,no,clean
257.65,3,39.6,online,yes,fraud
43.9,12,3.0,travel,no,clean
9.8,16,1.2,grocery,yes,clean
92.17,17,8.0,travel,no,clean
50.44,6,5.2,electronics,no,clean
100.01,8,19.2,travel,no,clean
87.06,6,7.9,electronics,no,clean
16.3,15,6.8,grocery,no,clean
51.46,14,2.5,online,yes,clean
93.61,15,7.1,online,no,clean
15.35,9,11.7,grocery,no,clean
15.01,11,4.9,grocery,no,clean
78.5,20,5.1,online,no,clean
23.06,19,5.8,grocery,no,clean
15.23,11,3.9,online,no,clean
42.66,16,1.5,electronics,no,clean
36.28,17,2.5,grocery,no,clean
94.08,12,2.3,grocery,yes,clean
159.77,15,0.7,grocery,no,clean
40.77,11,4.3,grocery,no,clean
408.81,3,7.1,travel,yes,fraud
72.94,23,5.8,electronics,no,clean
18.65,14,13.6,travel,no,clean
364.51,10,4.7,grocery,no,clean
16.04,6,6.1,electronics,no,clean
30.29,12,57.8,electronics,yes,clean
24.44,10,14.8,grocery,no,clean
28.36,7,7.1,grocery,no,clean
27.64,8,16.1,travel,no,clean
146.69,7,22.6,online,no,clean
52.57,17,7.7,online,no,clean
45.92,10,8.4,electronics,no,clean
36.34,15,10.4,grocery,no,clean
71.94,16,2.1,online,no,clean
330.59,23,5.4,electronics,yes,fraud
37.23,23,7.4,grocery,no,clean
14.33,8,7.7,electronics,no,clean
18.68,8,1.5,grocery,no,clean
8.91,10,18.3,travel,no,clean
7.32,20,0.6,electronics,no,clean
81.18,13,22.1,online,no,clean
16.18,20,0.8,grocery,yes,clean
15.25,13,1.2,online,no,clean
31.14,23,1.5,travel,yes,clean
144.59,13,7.9,online,no,clean
33.55,16,2.4,electronics,no,clean
10.49,18,3.8,electronics,no,clean
43.52,13,4.4,grocery,no,clean
47.99,15,4.6,online,no,clean
21.53,13,3.3,electronics,no,clean
37.38,14,2.0,grocery,no,clean
9.68,14,13.1,online,yes,clean
67.23,15,2.8,grocery,no,clean
92.02,13,9.8,electronics,no,clean
26.96,13,2.4,grocery,no,clean
9.67,12,20.1,grocery,no,clean
42.77,12,9.1,grocery,no,clean
160.78,6,8.5,travel,no,fraud
22.88,9,3.7,travel,no,clean
28.04,11,2.1,electronics,no,clean
25.53,11,11.2,grocery,no,clean
30.77,12,4.4,electronics,no,clean
178.28,2,15.0,online,no,fraud
67.18,20,7.9,online,yes,clean
97.13,13,6.5,grocery,no,clean
68.84,18,4.7,grocery,no,clean
13.6,6,3.2,travel,no,clean
723.13,23,52.6,electronics,yes,fraud
45.78,7,5.6,online,no,clean
11.95,17,7.5,grocery,no,clean
6.08,20,1.4,travel,no,clean
24.99,12,9.9,electronics,no,clean
39.32,8,2.2,electronics,no,clean
18.11,9,4.6,electronics,yes,clean
37.69,10,7.0,online,no,clean
42.15,5,5.6,grocery,no,clean
9.11,10,2.1,electronics,no,clean
145.73,2,110.3,online,yes,fraud
19.96,13,6.1,grocery,no,clean
56.03,22,1.6,electronics,no,clean
33.81,13,4.2,grocery,no,clean
55.23,16,12.1,electronics,no,clean
13.7,18,2.5,travel,no,clean
83.56,7,1.8,online,no,clean
52.36,8,19.4,travel,no,clean
10.55,18,12.1,travel,no,clean
17.84,15,3.6,electronics,no,clean
49.1,18,2.0,grocery,no,clean
129.78,5,21.3,online,no,fraud
28.6,7,12.9,grocery,no,clean
23.23,15,2.8,grocery,no,clean
185.96,2,33.2,grocery,yes,fraud
77.62,13,0.3,grocery,no,clean
36.39,19,29.9,grocery,no,clean
33.3,16,11.6,electronics,no,clean
93.39,11,3.1,online,no,clean
39.17,15,0.8,electronics,no,clean
15.3,11,3.2,grocery,no,clean
46.27,20,5.5,electronics,no,clean
23.13,19,26.8,electronics,no,clean
59.47,15,3.9,grocery,no,clean
38.97,14,0.4,grocery,no,clean
20.95,23,0.6,online,no,clean
23.13,17,6.5,online,no,clean
80.73,18,2.5,electronics,yes,clean
13.32,15,8.9,online,no,clean
30.38,16,1.6,travel,no,clean
26.34,7,23.8,travel,no,clean
60.0,12,4.4,travel,yes,clean
34.27,10,3.4,grocery,no,clean
210.19,16,11.4,electronics,no,clean
78.77,13,5.9,electronics,no,clean
47.0,15,9.6,electronics,yes,clean
17.23,11,25.7,grocery,no,clean
26.47,12,1.5,grocery,no,clean
18.63,18,1.7,grocery,yes,clean
13.74,11,8.8,grocery,no,clean
25.37,16,9.0,grocery,no,clean
30.55,13,2.4,travel,no,clean
29.29,16,4.0,online,no,clean
14.73,18,8.9,electronics,no,clean
30.78,15,18.1,online,no,clean
27.2,5,0.7,grocery,no,clean
42.49,6,5.2,online,yes,clean
71.84,12,6.1,online,no,clean
19.83,11,9.7,online,no,clean
22.01,21,5.1,electronics,no,clean
27.93,12,14.4,online,no,clean
19.98,13,38.5,grocery,no,clean
33.7,18,5.2,grocery,no,clean
17.14,11,12.4,grocery,no,clean
35.31,13,10.4,online,no,clean
27.61,12,15.1,electronics,no,clean
42.69,23,4.4,travel,no,clean
23.7,17,4.7,online,no,clean
250.62,0,90.2,electronics,yes,fraud
45.11,16,3.0,online,no,clean
33.86,9,1.8,electronics,no,clean
145.28,0,32.3,online,yes,fraud
111.96,11,1.8,grocery,no,clean
35.92,10,7.1,online,no,clean
10.64,13,6.6,online,no,clean
31.95,9,4.9,grocery,no,clean
31.71,17,6.2,grocery,no,clean
92.36,17,8.5,online,no,clean
36.42,16,0.4,electronics,yes,clean
300.26,12,31.1,electronics,no,clean
33.08,17,18.7,grocery,no,clean
75.15,10,1.6,grocery,no,clean
50.67,18,7.7,grocery,no,clean
154.8,18,2.2,travel,yes,clean
6.61,11,7.0,online,no,clean
124.85,11,11.1,grocery,no,clean
73.6,19,3.9,grocery,no,clean
10.74,18,11.1,online,yes,clean
14.96,16,5.0,online,yes,clean
29.68,16,5.1,grocery,no,clean
31.67,11,4.5,online,yes,clean
59.57,19,3.1,grocery,yes,clean
20.97,12,7.7,grocery,no,clean
26.34,15,1.2,grocery,no,clean
15.41,13,2.4,electronics,no,clean
37.5,18,2.5,online,yes,clean
15.24,15,1.8,online,no,clean
11.28,13,1.8,grocery,no,clean
39.73,11,3.8,grocery,no,clean
14.15,22,5.6,grocery,no,clean
98.08,11,1.8,online,no,clean
184.7,21,12.6,electronics,no,clean
185.48,22,15.4,travel,no,clean
47.38,16,2.6,online,no,clean
98.32,13,6.4,grocery,no,clean
77.25,16,21.8,travel,no,clean
316.25,0,69.1,travel,yes,fraud
119.41,21,3.4,grocery,no,clean
36.37,11,2.2,grocery,no,clean
151.25,2,5.4,electronics,yes,fraud
57.59,7,26.1,online,no,clean
26.27,18,3.4,electronics,no,clean
35.4,11,4.1,electronics,no,clean
212.17,3,34.2,online,yes,fraud
92.14,6,4.9,grocery,no,clean
23.77,9,32.7,online,no,clean
24.26,16,8.0,grocery,yes,clean
56.68,12,7.7,grocery,no,clean
11.54,13,8.3,online,no,clean
78.85,14,1.8,grocery,no,clean
21.72,11,9.8,grocery,no,clean
44.66,16,4.6,online,no,clean
216.14,6,23.9,online,no,fraud
12.4,19,27.0,grocery,no,clean
20.89,9,6.2,electronics,no,clean
36.19,20,0.4,online,no,clean
21.18,14,8.0,travel,no,clean
77.92,20,41.1,online,no,fraud
33.99,10,1.1,online,no,clean
15.06,15,19.8,travel,no,clean
24.34,12,9.4,electronics,no,clean
20.74,19,1.5,grocery,no,clean
17.23,14,15.1,grocery,no,clean
28.48,10,4.6,electronics,no,clean
21.11,13,1.9,travel,no,clean
42.04,9,3.2,online,no,clean
37.97,5,13.8,travel,no,clean
403.52,1,51.9,online,yes,fraud
43.18,6,13.1,online,no,clean
24.27,10,8.1,grocery,no,clean
52.97,10,2.3,grocery,no,clean
49.1,15,2.5,electronics,no,clean
21.77,11,1.9,online,no,clean
10.19,19,7.1,grocery,no,clean
83.16,14,11.2,grocery,no,clean
14.5,7,2.9,electronics,no,clean
25.67,5,1.4,grocery,no,clean
11.83,12,7.2,online,no,clean
70.05,18,2.3,grocery,no,clean
92.76,2,10.2,online,yes,fraud
32.32,13,3.5,grocery,no,clean
15.61,12,14.3,grocery,no,clean
15.3,9,5.2,online,no,clean
25.4,7,4.0,online,no,clean
36.57,13,2.8,travel,no,clean
44.56,16,2.9,travel,no,clean
9.68,18,0.3,grocery,no,clean
75.22,14,2.2,grocery,no,clean
24.31,14,1.0,online,yes,clean
49.23,13,7.2,electronics,no,clean
87.11,9,5.6,online,no,clean
29.84,15,1.6,online,no,clean
257.08,9,4.7,electronics,no,clean
98.89,12,4.0,online,no,clean
42.53,10,1.2,electronics,yes,clean
20.81,16,8.8,online,no,clean
28.14,11,11.4,electronics,no,clean
27.34,22,29.1,grocery,no,clean
116.32,13,1.9,electronics,no,clean
26.28,13,37.2,travel,no,clean
26.78,8,3.9,grocery,no,clean
27.91,13,9.1,grocery,no,clean
44.91,12,4.4,grocery,no,clean
90.54,14,2.1,grocery,no,clean
151.69,13,2.3,electronics,no,clean
47.0,11,8.5,electronics,no,clean
10.1,14,0.7,online,no,clean
73.85,20,1.3,travel,no,clean
74.2,10,10.4,travel,no,clean
39.47,15,14.8,online,no,clean
28.37,14,2.7,electronics,no,clean
19.25,22,3.0,electronics,no,clean
25.19,11,1.7,grocery,no,clean
34.49,13,2.5,grocery,no,clean
66.92,5,5.9,grocery,no,clean
21.98,17,13.3,grocery,no,clean
149.54,15,3.2,travel,no,clean
63.12,14,3.8,online,no,clean
15.43,14,7.2,online,no,clean
38.68,13,1.9,travel,no,clean
35.14,17,7.8,online,no,clean
32.97,8,13.7,online,no,clean
78.6,23,13.4,travel,yes,fraud
301.72,4,22.3,electronics,no,fraud
15.25,16,2.0,electronics,no,clean
19.32,12,4.9,grocery,no,clean
20.36,16,8.7,grocery,no,clean
27.62,16,0.7,grocery,no,clean
32.07,5,3.0,electronics,no,clean
15.06,15,1.4,grocery,no,clean
23.34,4,2.4,online,no,clean
63.8,15,4.3,electronics,no,clean
110.36,12,21.6,electronics,yes,clean
363.28,2,94.8,online,yes,fraud
54.27,17,18.1,online,no,clean
23.48,13,3.6,travel,no,clean
244.57,3,39.5,travel,yes,fraud
68.02,16,1.1,online,no,clean
19.5,8,47.9,online,no,clean
21.45,18,5.0,travel,no,clean
27.04,16,7.0,online,no,clean
33.24,22,2.0,travel,yes,clean
58.26,14,1.3,grocery,yes,clean
102.65,19,2.0,grocery,no,clean
78.07,10,12.0,grocery,no,clean
26.59,8,4.7,grocery,no,clean
